1|Carolyn Radford, CEO Cantik Klub Liga Inggris   http://bit.ly/10trReb  via @VIVAbola|neutral
2|Buang Air ke Pemukiman, Warga Protes Plaza UOB  http://bit.ly/10trAYG  via @VIVAnews|neutral
3|VIDEO: Mobil Mewah Terendam  http://bit.ly/10trkst  via @VIVAnews|neutral
4|Polisi Tangkap Lima Penjarah di Pertokoan Terendam Banjir  http://bit.ly/10trccz  via @VIVAnews|neutral
5|Ibunda RI: Jika Marah, Sunoto Lempar Nasi  http://bit.ly/WcoAJr  via @VIVAnews|neutral
6|Perubahan Rute KRL Jabodetabek Akibat Banjir, Sabtu Ini  http://bit.ly/Wcoxxn  via @VIVAnews|neutral
7|Satu Lagi Korban di Basement Gedung UOB Ditemukan  http://bit.ly/Wcowtg  via @VIVAnews|neutral
8|ARB Terkesima Menonton Teater "Fang Yin"  http://bit.ly/WcoscW  via @VIVAnews|neutral
9|U-report adalah satu kanal khusus di VIVAnews untuk berbagi berita, cerita, dan peristiwa. Tertarik? Silakan share di  http://bit.ly/Ucuzjk |neutral
10|BNPB: Sebagian Banjir di Jakarta Mulai Surut  http://bit.ly/W8S4YF  via @VIVAnews|neutral
11|Berkah Pengojek Gerobak di Tengah Banjir  http://metro.news.viva.co.id/news/read/382966-berkah-pengojek-gerobak-di-tengah-banjir … via @VIVAnews|neutral
12|Jakarta Lumpuh, Pelajar Akan Diliburkan  http://bit.ly/WK72E4  via @VIVAnews|neutral
13|Olga Syahputra Datang, Pengungsi Banjir Heboh  http://bit.ly/WK72nj  via @VIVAlife_|neutral
14|2050, Indonesia Negara Ekonomi Terbesar Kedelapan  http://bit.ly/Xfsi4X  via @VIVAnews|neutral
15|Bogor Diguyur Hujan, Jakarta Siaga Banjir Kiriman  http://bit.ly/XfselU  via @VIVAnews|neutral
16|Jalan Daan Mogot Berubah Jadi Sungai, Kantor Diliburkan  http://bit.ly/Xfs91s  via @VIVAnews|neutral
17|Teh Sehat Terbuat dari Daun Kopi  http://bit.ly/13CdKlj  via @VIVAlife_|neutral
18|Nikita Mirzani Tolak Adu Akting dengan Depe  http://bit.ly/13CdC5k  via @VIVAlife_|neutral
19|Pengakuan Markus Soal Anak dari Kiki Amalia  http://bit.ly/13Cdy5F  via @VIVAlife_|neutral
20|Jatuh Bangun Usaha Ayam Bakar, Kini Raup Ratusan Juta  http://bit.ly/V3mux0  via @VIVAnews|neutral
21|Canda Darmin di Peluncurkan Sekuritisasi Aset Anak Usaha PLN  http://detik.id/VpaCs9  via @detikfinancepic.twitter.com/B5org6qRwl|neutral
22|Minta KPK Awasi Proyek Gedung Baru, DPR: Biar Tahu Nggak Ada Maling  http://detik.id/6NA7x0 pic.twitter.com/8LRwju5yyM|neutral
23|Terciduk, Dua Pengemis Pura-pura Buta  http://detik.id/6ohaxs  via @detik_tv|neutral
24|Berencana Bikin BBQ Ular, Wajah Pria Ini Malah Dipatok Ular Berbisa  http://detik.id/6Z56nq  via @detikfoodpic.twitter.com/bI9ail4j3l|neutral
25|Tren Bedah Kelopak Mata Meningkat di Indonesia, Pasien Mulai dari Anak Kecil  http://detik.id/68olJK  via @wolipoppic.twitter.com/RtnUijrWB7|neutral
26|Sebelum ke City, Aguero Pernah Punya Kans ke MU  http://detik.id/6jDdUF  via @detiksportpic.twitter.com/MzLVj8yPAZ|neutral
27|Karyawan Demo, Gerbang PanAsia Indo Resources Dijaga Ketat  http://detik.id/6YMN8U pic.twitter.com/5WMDr4Ovja|neutral
28|Kecelakaan Truk Kontainer Gilas Mobilio di Pantura Semarang  http://detik.id/6ZjD2E pic.twitter.com/91HbZJWgPI|neutral
29|Rumah Terbakar di Gandok Bandung, 1 Orang Luka Tersetrum  http://detik.id/6drhl3 pic.twitter.com/JYzlksbdpF|neutral
30|Tips Memilih Gaun Pengantin Muslim dari Desainer  http://detik.id/VtyeFx pic.twitter.com/M8T5fFi8RG|neutral
31|Kenali Penyebab Penyakit Katarak pada Bayi  http://detik.id/6WSdCL pic.twitter.com/hhrXbcPNMJ|neutral
32|Warga Blitar Dihebohkan Pengendara Motor Telanjang  http://detik.id/VDy5jh pic.twitter.com/RkfE0lhWko|neutral
33|Truk Kontainer Gilas Mobilio di Semarang, Sopir Masih Terjepit  http://detik.id/VykstE pic.twitter.com/yQPAcByZcz|neutral
34|Studi: Minum Kopi Bikin Pasien Diabetes Wanita Panjang Umur  http://detik.id/VDh7TR  via @detikHealthpic.twitter.com/gSsk1RUjTf|neutral
35|Aston Martin yang Tabrak Separator di Harmoni Masih Bisa Jalan  http://detik.id/VvamRz pic.twitter.com/z7er94Tjvh|neutral
36|#Infografis Catat! Ini jadwal transaksi non tunai di Tol Jakarta-Cikampek.  http://detik.id/6mav1y pic.twitter.com/5HxQWSXbDX|neutral
37|Rumah Terbakar di Gadok Bandung, 1 Orang Luka Tersetrum  http://detik.id/6FBYzv pic.twitter.com/PyYCHnzvfm|neutral
38|6 Orang Ini Dipanggil KPK Jadi Saksi Setya Novanto  http://detik.id/6wRdh3 pic.twitter.com/IxrAbAMG48|neutral
39|Klaim Dialog Gaib di Balik Penemuan Jenazah Korban Buaya  http://detik.id/VtWsxJ pic.twitter.com/au3ez20OL7|neutral
40|PKL Jalan Kunir Kota Tua akan Ditertibkan  http://detik.id/V5v9JJ pic.twitter.com/GSDfNMLCKH|neutral
41|Investor Antusias Sambut EBA Anak Usaha PLN http://kom.ps/AFyFpW |neutral
42|Kisah Seorang Anak SMP di Tahun 1984 dan Film Pengkhianatan G30S/PKI http://kom.ps/AFyFpV |neutral
43|Kasus "Bullying" Anak SMP di Tangsel, Dinas Pendidikan Temukan Adanya Kekerasan Psikologis http://kom.ps/AFyFpT |neutral
44|Irak Beri Sinyal Pangkas Produksi, Harga Minyak Menguat http://kom.ps/AFyFpS |neutral
45|Spalletti Beberkan Alasan Inter Ditahan Imbang Bologna http://bola.kompas.com/read/2017/09/20/11320038/spalletti-beberkan-alasan-inter-ditahan-imbang-bolog …|neutral
46|Rekor! Wanda Metropolitano Hadirkan Profit Rp 3,1 Miliar bagi Atletico -  http://Kompas.com http://ebx.sh/2wFjHld |neutral
47|Lakukan Ini Saat Anda Merasa Tak Bahagia http://kom.ps/AFyFpM |neutral
