1|yuk sini kita musuhan biar aku teror km :(|-1
2|lagi berjuang:)|1
3|shahrezamirza selamat siang, mas zae. silakan infokan detail keluhannya dan nomor via dm :) -lita|1
4|telkomsel: muhammadarviin iya, buka mas :) -krisa|1
5|fahrie0007 baik, interaksi selanjutnya via dm :) –ratu|1
6|bocahjhelek [2] ke dual mode terlebih dahulu dan akses diruangan terbuka :) -tata|1
7|telkomsel: msy_melody baik, sama-sama. interaksi selanjutnya via dm :) -tata|1
8|telkomsel: radhiani [2] sinyal yang didapat agar dibantu pengecekan lebih lanjut, terima kasih :) -nisa|1
9|telkomsel: marqiliahkim18 [2] masih kendala, infokan nomor, lokasi lengkap dan tipe hp via dm agar kami bantu cek :) -nura|1
10|nerlite terima kasih telah berinteraksi dengan twitter telkomsel :) -nisa|1
11|blanjacom hai, terima kasih share infonya :) -ana|1
12|b4b4ng_r1ch [2] memberikan pelayanan :) -nadacogan|1
13|agnesprayangga halo, agnes :). selamat menikmati layanan xl,ya :d|1
14|alviniagutomo terima kasih telah berpartisipasi :) -ana|1
15|belum, moms. kalcare baru tersedia di jakarta, tanggerang, dan bintaro :) ^yr|1
16|telkomsel: viadvi terima kasi telah berinteraksi dengan layanan twitter telkomsel :) -karin|1
17|telkomsel: alviniagutomo terima kasih telah berpartisipasi :) -ana|1
18|acara dadakan lagiii :d . lkmm - tm kemenristek dikti. — merasa bersyukur di harris riverview kuta|1
19|warjunet [2] lalu akses kembali :) -lita|1
20|happy lunch promise lovers! rahman  dan kanya  makan siangnya kembaran nih menunya :)…|1
21|warjunet sama-sama, silakan mention atau dm kembali jika ada yang di tanyakan dan sisipkan tanda tanya (?) di setiap pertanyaan :) -karin|1
22|telkomsel: godhok_ [2] pertama kali sejak tanggal 08.11.16-31.11.16 :) -ana|1
23|order juniper ke admin di bawah ini ya dear :). . ✿ fb : ademaro quelle - fanpage - like...|1
24|oke, udahan dulu ya  hari ini. tugas  udah selesai. sampai ketemu lagi :)|1
